review,rating,date,bank,source,sentiment_label,sentiment_score,keywords,identified_theme
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993645548820496,"thanks, your dedication, a bank, good options, your cuatomers",Feature / Others
make life easy,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999527096748352,life,Feature / Others
securr,5,2025-11-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.989194393157959,securr,Feature / Others
My most optional bank,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.7555266618728638,,Feature / Others
5 star,5,2025-11-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9964116215705872,5 star,Feature / Others
it is fantastic app.,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998733997344971,"it, fantastic app",Feature / Others
excellent,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998434782028198,,Feature / Others
sifen,5,2025-11-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8473550081253052,sifen,Feature / Others
i like this√,4,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998555183410645,"i, this√",Feature / Others
Ok,3,2025-11-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9916301369667053,"app, app ሲደረግ ለምንድነዉ, ጥሩ ነዉ።",Feature / Others
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996232986450195,"what, this app, beneficiary, android users, ios users, full access, restrictions, android users, second class customers, it, the same app, the same service, this kind, platform bias, everyone, the same features, you, functionality, it",Customer Support
Like,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9910564422607422,,Feature / Others
Nice and very useful app i like it!,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998588562011719,"i, it",Feature / Others
good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
Good,5,2025-11-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
smart app,4,2025-11-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999789297580719,smart app,Feature / Others
good App,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.992516815662384,"sync problem, may, pls",Feature / Others
ok,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
cbe is my choice,4,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9987378716468811,"cbe, my choice",Feature / Others
Awesome,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998682737350464,,Feature / Others
I am not able to transfer. The app is not responding,1,2025-11-11,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.999775230884552,"i, the app",Feature / Others
Very convenient App,5,2025-11-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9945734143257141,very convenient app,Feature / Others
excellent but sometimes can not connect,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9832204580307007,,Feature / Others
good app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
wow apk,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9992477893829346,,Feature / Others
best 100 %,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998010993003845,best 100 %,Feature / Others
bad app,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997212290763855,bad app,Feature / Others
best app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,best app,Feature / Others
wow,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999592125415802,,Feature / Others
nice app,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998061060905457,nice app,Feature / Others
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8869743943214417,"the app, a decent connection, a cleared cache, telebirr",Feature / Others
I can't access it properly I think it needs update,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996213912963867,"i, it, i, it, update",Feature / Others
👌👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970565915107727,,Feature / Others
best 👌,5,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997019171714783,,Feature / Others
good,4,2025-11-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
not Refresh,2,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9990518689155579,,Feature / Others
your statement is not used as wanted,1,2025-11-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.99908447265625,your statement,Feature / Others
good very good,5,2025-11-09,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998477697372437,,Feature / Others
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997031092643738,"this, absolute trash, it, most time, the servers, i, 4g data internet, they, they, even data package, it, trash, money",Feature / Others
good app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9800481200218201,bayeee,Feature / Others
Good !,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998268485069275,,Feature / Others
i like it,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998593330383301,"i, it",Feature / Others
Very nice app,5,2025-11-08,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998562335968018,very nice app,Feature / Others
the app is not functional this week.,4,2025-11-08,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996664524078369,the app,Feature / Others
good,5,2025-11-07,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
very updated bank,5,2025-11-06,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999656081199646,very updated bank,Feature / Others
tankyu,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8404368162155151,tankyu,Feature / Others
nice,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9866906404495239,"numbers, pin verification",Feature / Others
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9989122152328491,"it, you, a nearby bank, you, they, you, which, you, you, them, you, there service provider, authentication pin, the system",Feature / Others
loved it,5,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998797178268433,it,Feature / Others
Ok,1,2025-11-05,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
this app is not working on my phone,5,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996734857559204,"this app, my phone",Feature / Others
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.964024543762207,"cbe, transaction fees, the transaction, this, a big issue, fees",Transaction Performance
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9985938668251038,"the recent updates, i, a receipt, i, the names, account holders, i, it",Account Access Issues
nice,5,2025-11-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
wow 😘😘😘,4,2025-11-02,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9992976188659668,,Feature / Others
mobile banking broblem,5,2025-11-01,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9918060302734375,mobile banking broblem,Feature / Others
good job,5,2025-11-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999835729598999,good job,Feature / Others
good,3,2025-11-01,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
it is a good and clear apps to use,4,2025-10-31,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998574256896973,it,Feature / Others
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.929838240146637,ብር እንዲቆርጥ ያደረጋችሁት,Feature / Others
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998561143875122,"i, this app, c, every option, the app",Feature / Others
niiceh,5,2025-10-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8779535293579102,niiceh,Feature / Others
the app is good but their is no dark mode you have to add it,3,2025-10-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9965399503707886,"the app, their, no dark mode, you, it",Feature / Others
🤮,1,2025-10-29,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970565915107727,,Feature / Others
abdulakim abrahim elemoo,5,2025-10-29,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9634568691253662,abdulakim abrahim,Feature / Others
good app,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
strong,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999862551689148,,Feature / Others
good,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
best,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
Abebaw Zenebe,5,2025-10-28,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.5422849655151367,abebaw zenebe,Feature / Others
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9990962743759155,"i, it, it, we, a new update, that, fire soo",Feature / Others
good,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
Cbe,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9966009855270386,cbe,Feature / Others
Active and granted system,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.998322069644928,system,Feature / Others
fast app,4,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9983617663383484,fast app,Feature / Others
cool 😎,5,2025-10-27,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997991919517517,,Feature / Others
Galaxy A10s,3,2025-10-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.8983982801437378,galaxy,Feature / Others
the best apps,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998617172241211,the best apps,Feature / Others
arif app new,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.5203981995582581,arif app,Feature / Others
laga Bari biranch,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9922856092453003,laga bari biranch,Feature / Others
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970565915107727,ነነሠነሠሠነሠሠሠሠነየነ,Feature / Others
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9949776530265808,"i, you, the time, it, the money, it, the next day",Feature / Others
Attractive,5,2025-10-25,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998689889907837,,Feature / Others
mite,5,2025-10-24,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9965571165084839,mite,Feature / Others
useful,5,2025-10-24,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997634291648865,,Feature / Others
nice,4,2025-10-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998552799224854,,Feature / Others
"not good, not bad!",3,2025-10-23,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9981550574302673,,Feature / Others
very good,5,2025-10-23,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998520612716675,,Feature / Others
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9546589255332947,ከ,Feature / Others
good job,5,2025-10-22,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999835729598999,good job,Feature / Others
imp,5,2025-10-22,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9978600144386292,,Feature / Others
super fast app,5,2025-10-21,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9976546168327332,super fast app,Feature / Others
good app,4,2025-10-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998493194580078,good app,Feature / Others
useful,5,2025-10-20,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997634291648865,,Feature / Others
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9983618855476379,"the app, a nice design, useful features, balance check, transfers, it, it, users, developer options, which, other banking apps, that, many people, developer mode, normal reasons, performance issues, this restriction, biometric login, better security, convenience",Account Access Issues
cbe,4,2025-10-18,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9966009855270386,cbe,Feature / Others
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9991005659103394,"it, ti, your device, what, i",Feature / Others
blah blah blah,5,2025-10-18,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9977899789810181,,Feature / Others
good,5,2025-10-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
bad ግዴታ መሆንሁ,1,2025-10-17,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9995405673980713,bad ግዴታ መሆንሁ,Feature / Others
best,5,2025-10-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
CBE no.1,5,2025-10-17,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9968194961547852,cbe no.1,Feature / Others
good,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.996988832950592,"it, it, it",Feature / Others
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997401833534241,"its easy, i, it, commercial bank, ethiopia, every time update",Feature / Others
gooof,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.996545135974884,gooof,Feature / Others
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9996702671051025,"the cbe application, i, callcenter, i, it, it, i, any branch, it, i, cbe, branch.after, a form, they, me, i, they, 2 customer's case, who, me, it, my turn ppl, who, me, same mobile banking, i, my work, i, no service.why",Customer Support
Best app,5,2025-10-16,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,best app,Feature / Others
best,5,2025-10-15,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
still not perfect like before,1,2025-10-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9995744824409485,,Feature / Others
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9985210299491882,"me, it, me, traxation, my balance, others, option, dashboard, i, it, a risk, 😭, 😭, 🤤",Feature / Others
APPLIED,1,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9989719390869141,,Feature / Others
10 years ago,4,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9060004353523254,,Feature / Others
Asefa Obsa,5,2025-10-14,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9988316893577576,asefa obsa,Feature / Others
best app,4,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.999686598777771,best app,Feature / Others
it's good app,5,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998689889907837,"it, good app",Feature / Others
very slow,1,2025-10-14,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9997065663337708,,Feature / Others
berhan deriba wami,4,2025-10-14,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.7555697560310364,berhan deriba wami,Feature / Others
good,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
mahamad Usman,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9890894293785095,mahamad usman,Feature / Others
Erako,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9978224039077759,erako,Feature / Others
🔥🔥🔥🔥🔥,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970565915107727,🔥🔥🔥🔥🔥,Feature / Others
opne,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.7972500920295715,opne,Feature / Others
mehommd nuri,5,2025-10-13,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9508018493652344,mehommd nuri,Feature / Others
Best,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997941851615906,,Feature / Others
good,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
providing very secure service.,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9993906021118164,very secure service,Feature / Others
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9760127663612366,"ግን, ላገኝ አልችልኩም",Feature / Others
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.8832131028175354,ላለው,Feature / Others
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9531126022338867,riyad mohammed abaoli,Feature / Others
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9994134902954102,"it, bank statement, no options, transactions, the past months",Transaction Performance
Mamma Husen,2,2025-10-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9694636464118958,mamma husen,Feature / Others
ok,5,2025-10-11,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9997851252555847,,Feature / Others
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9932369589805603,"3 stars, i, the recents, a refresh button, the recents activity, the app, clients, all, the transactions, not just recents",Transaction Performance
good,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9998161196708679,,Feature / Others
exceptional application from others bank,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,POSITIVE,0.9996663331985474,"exceptional application, others bank",Feature / Others
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.9849932193756104,"it, i, a serious suggestion, you, it, the name, the recipient, befor, it, the money, this",Feature / Others
good👍👍👍😊😊😊,5,2025-10-10,Commercial Bank of Ethiopia,Google Play,NEGATIVE,0.6970565915107727,,Feature / Others
